Pitch_Filtrado:40.52   Pitch_Bruto:38.25
Pitch_Filtrado:30.90   Pitch_Bruto:31.01
Pitch_Filtrado:28.96   Pitch_Bruto:29.11
Pitch_Filtrado:27.02   Pitch_Bruto:26.88
Pitch_Filtrado:25.15   Pitch_Bruto:24.07
Pitch_Filtrado:23.34   Pitch_Bruto:22.52
Pitch_Filtrado:21.60   Pitch_Bruto:21.50
Pitch_Filtrado:19.92   Pitch_Bruto:20.44
Pitch_Filtrado:18.27   Pitch_Bruto:19.17
Pitch_Filtrado:16.61   Pitch_Bruto:17.76
Pitch_Filtrado:14.95   Pitch_Bruto:15.31
Pitch_Filtrado:13.26   Pitch_Bruto:13.15
Pitch_Filtrado:11.56   Pitch_Bruto:10.64
Pitch_Filtrado:9.86   Pitch_Bruto:8.31
Pitch_Filtrado:8.21   Pitch_Bruto:6.74
Pitch_Filtrado:6.63   Pitch_Bruto:6.40
Pitch_Filtrado:5.09   Pitch_Bruto:5.79
Pitch_Filtrado:3.56   Pitch_Bruto:4.59
Pitch_Filtrado:1.99   Pitch_Bruto:2.28
Pitch_Filtrado:0.40   Pitch_Bruto:-0.33
Pitch_Filtrado:-1.19   Pitch_Bruto:-2.90
Pitch_Filtrado:-2.80   Pitch_Bruto:-4.70
Pitch_Filtrado:-4.35   Pitch_Bruto:-6.44
Pitch_Filtrado:-5.87   Pitch_Bruto:-7.28
Pitch_Filtrado:-7.36   Pitch_Bruto:-8.31
Pitch_Filtrado:-8.87   Pitch_Bruto:-10.47
Pitch_Filtrado:-10.38   Pitch_Bruto:-12.72
Pitch_Filtrado:-11.89   Pitch_Bruto:-14.68
Pitch_Filtrado:-13.37   Pitch_Bruto:-16.89
Pitch_Filtrado:-14.80   Pitch_Bruto:-17.97
Pitch_Filtrado:-16.17   Pitch_Bruto:-19.11
Pitch_Filtrado:-17.48   Pitch_Bruto:-19.81
Pitch_Filtrado:-18.70   Pitch_Bruto:-20.34
Pitch_Filtrado:-19.89   Pitch_Bruto:-21.07
Pitch_Filtrado:-21.05   Pitch_Bruto:-22.65
Pitch_Filtrado:-22.17   Pitch_Bruto:-23.82
Pitch_Filtrado:-23.24   Pitch_Bruto:-24.90
Pitch_Filtrado:-24.27   Pitch_Bruto:-25.62
Pitch_Filtrado:-25.22   Pitch_Bruto:-25.78
Pitch_Filtrado:-26.12   Pitch_Bruto:-25.80
Pitch_Filtrado:-26.99   Pitch_Bruto:-25.81
Pitch_Filtrado:-27.86   Pitch_Bruto:-26.44
Pitch_Filtrado:-28.76   Pitch_Bruto:-27.60
Pitch_Filtrado:-29.70   Pitch_Bruto:-29.41
Pitch_Filtrado:-30.66   Pitch_Bruto:-31.28
Pitch_Filtrado:-31.66   Pitch_Bruto:-32.94
Pitch_Filtrado:-32.63   Pitch_Bruto:-34.75
Pitch_Filtrado:-33.56   Pitch_Bruto:-35.67
Pitch_Filtrado:-34.46   Pitch_Bruto:-36.06
Pitch_Filtrado:-35.33   Pitch_Bruto:-36.79
Pitch_Filtrado:-36.21   Pitch_Bruto:-38.16
Pitch_Filtrado:-37.13   Pitch_Bruto:-39.90
Pitch_Filtrado:-38.03   Pitch_Bruto:-41.73
Pitch_Filtrado:-38.90   Pitch_Bruto:-42.59
Pitch_Filtrado:-39.74   Pitch_Bruto:-43.54
Pitch_Filtrado:-40.53   Pitch_Bruto:-44.24
Pitch_Filtrado:-41.23   Pitch_Bruto:-44.50
Pitch_Filtrado:-41.86   Pitch_Bruto:-44.83
Pitch_Filtrado:-42.43   Pitch_Bruto:-45.85
Pitch_Filtrado:-42.93   Pitch_Bruto:-46.76
Pitch_Filtrado:-43.35   Pitch_Bruto:-47.45
Pitch_Filtrado:-43.64   Pitch_Bruto:-47.67
Pitch_Filtrado:-43.74   Pitch_Bruto:-47.72
Pitch_Filtrado:-43.71   Pitch_Bruto:-48.20
Pitch_Filtrado:-43.51   Pitch_Bruto:-49.09
Pitch_Filtrado:-43.11   Pitch_Bruto:-48.86
Pitch_Filtrado:-42.46   Pitch_Bruto:-47.71
Pitch_Filtrado:-41.57   Pitch_Bruto:-46.02
Pitch_Filtrado:-40.40   Pitch_Bruto:-44.06
Pitch_Filtrado:-39.01   Pitch_Bruto:-41.76
Pitch_Filtrado:-37.49   Pitch_Bruto:-38.06
Pitch_Filtrado:-35.86   Pitch_Bruto:-35.39
Pitch_Filtrado:-34.15   Pitch_Bruto:-32.52
Pitch_Filtrado:-32.42   Pitch_Bruto:-30.34
Pitch_Filtrado:-30.73   Pitch_Bruto:-29.61
Pitch_Filtrado:-29.07   Pitch_Bruto:-29.92
Pitch_Filtrado:-27.39   Pitch_Bruto:-29.40
Pitch_Filtrado:-25.61   Pitch_Bruto:-27.10
Pitch_Filtrado:-23.73   Pitch_Bruto:-23.60
Pitch_Filtrado:-21.78   Pitch_Bruto:-20.06
Pitch_Filtrado:-19.82   Pitch_Bruto:-16.88
Pitch_Filtrado:-17.92   Pitch_Bruto:-14.59
Pitch_Filtrado:-16.06   Pitch_Bruto:-11.91
Pitch_Filtrado:-14.28   Pitch_Bruto:-10.29
Pitch_Filtrado:-12.60   Pitch_Bruto:-8.92
Pitch_Filtrado:-11.01   Pitch_Bruto:-7.89
Pitch_Filtrado:-9.50   Pitch_Bruto:-6.94
Pitch_Filtrado:-8.11   Pitch_Bruto:-6.07
Pitch_Filtrado:-6.77   Pitch_Bruto:-5.15
Pitch_Filtrado:-5.50   Pitch_Bruto:-4.37
Pitch_Filtrado:-4.30   Pitch_Bruto:-4.04
Pitch_Filtrado:-3.12   Pitch_Bruto:-3.18
Pitch_Filtrado:-1.95   Pitch_Bruto:-1.71
Pitch_Filtrado:-0.79   Pitch_Bruto:-0.25
Pitch_Filtrado:0.35   Pitch_Bruto:0.70
Pitch_Filtrado:1.46   Pitch_Bruto:1.12
Pitch_Filtrado:2.56   Pitch_Bruto:1.10
Pitch_Filtrado:3.69   Pitch_Bruto:1.92
Pitch_Filtrado:4.90   Pitch_Bruto:4.04
Pitch_Filtrado:6.21   Pitch_Bruto:7.23
Pitch_Filtrado:7.62   Pitch_Bruto:9.89
Pitch_Filtrado:9.01   Pitch_Bruto:12.63
Pitch_Filtrado:10.36   Pitch_Bruto:13.47
Pitch_Filtrado:11.67   Pitch_Bruto:14.10
Pitch_Filtrado:12.94   Pitch_Bruto:15.01
Pitch_Filtrado:14.20   Pitch_Bruto:16.27
Pitch_Filtrado:15.46   Pitch_Bruto:17.65
Pitch_Filtrado:16.70   Pitch_Bruto:19.48
Pitch_Filtrado:17.91   Pitch_Bruto:20.35
Pitch_Filtrado:19.09   Pitch_Bruto:21.18
Pitch_Filtrado:20.25   Pitch_Bruto:22.08
Pitch_Filtrado:21.38   Pitch_Bruto:22.91
Pitch_Filtrado:22.53   Pitch_Bruto:23.74
Pitch_Filtrado:23.67   Pitch_Bruto:25.36
Pitch_Filtrado:24.82   Pitch_Bruto:26.56
Pitch_Filtrado:25.98   Pitch_Bruto:27.82
Pitch_Filtrado:27.13   Pitch_Bruto:28.68
Pitch_Filtrado:28.27   Pitch_Bruto:29.67
Pitch_Filtrado:29.43   Pitch_Bruto:30.92
Pitch_Filtrado:30.56   Pitch_Bruto:32.91
Pitch_Filtrado:31.64   Pitch_Bruto:33.62
Pitch_Filtrado:32.65   Pitch_Bruto:33.65
Pitch_Filtrado:33.61   Pitch_Bruto:33.80
Pitch_Filtrado:34.53   Pitch_Bruto:34.12
Pitch_Filtrado:35.49   Pitch_Bruto:35.13
Pitch_Filtrado:36.44   Pitch_Bruto:37.16
Pitch_Filtrado:37.39   Pitch_Bruto:38.38
Pitch_Filtrado:38.30   Pitch_Bruto:39.11
Pitch_Filtrado:39.15   Pitch_Bruto:39.36
Pitch_Filtrado:39.97   Pitch_Bruto:39.85
Pitch_Filtrado:40.82   Pitch_Bruto:40.87
Pitch_Filtrado:41.68   Pitch_Bruto:43.05
Pitch_Filtrado:42.55   Pitch_Bruto:44.58
Pitch_Filtrado:43.40   Pitch_Bruto:46.00
Pitch_Filtrado:44.18   Pitch_Bruto:46.85
Pitch_Filtrado:44.82   Pitch_Bruto:47.05
Pitch_Filtrado:45.37   Pitch_Bruto:47.03
Pitch_Filtrado:45.85   Pitch_Bruto:47.67
Pitch_Filtrado:46.27   Pitch_Bruto:48.60
Pitch_Filtrado:46.65   Pitch_Bruto:50.06
Pitch_Filtrado:46.95   Pitch_Bruto:51.71
Pitch_Filtrado:47.01   Pitch_Bruto:53.20
Pitch_Filtrado:46.84   Pitch_Bruto:53.73
Pitch_Filtrado:46.39   Pitch_Bruto:52.93
Pitch_Filtrado:45.67   Pitch_Bruto:51.92
Pitch_Filtrado:44.70   Pitch_Bruto:51.08
Pitch_Filtrado:43.50   Pitch_Bruto:50.23
Pitch_Filtrado:41.95   Pitch_Bruto:48.75
Pitch_Filtrado:40.09   Pitch_Bruto:45.86
Pitch_Filtrado:38.02   Pitch_Bruto:39.91
Pitch_Filtrado:35.82   Pitch_Bruto:35.97
Pitch_Filtrado:33.57   Pitch_Bruto:32.58
Pitch_Filtrado:31.33   Pitch_Bruto:30.21
Pitch_Filtrado:29.14   Pitch_Bruto:28.41
Pitch_Filtrado:26.94   Pitch_Bruto:26.73
Pitch_Filtrado:24.74   Pitch_Bruto:23.36
Pitch_Filtrado:22.52   Pitch_Bruto:20.55
Pitch_Filtrado:20.28   Pitch_Bruto:17.36
Pitch_Filtrado:18.04   Pitch_Bruto:14.16
Pitch_Filtrado:15.85   Pitch_Bruto:11.72
Pitch_Filtrado:13.73   Pitch_Bruto:10.19
Pitch_Filtrado:11.67   Pitch_Bruto:8.05
Pitch_Filtrado:9.65   Pitch_Bruto:6.11
Pitch_Filtrado:7.68   Pitch_Bruto:4.04
Pitch_Filtrado:5.77   Pitch_Bruto:2.09
Pitch_Filtrado:3.93   Pitch_Bruto:0.30
Pitch_Filtrado:2.20   Pitch_Bruto:-1.63
Pitch_Filtrado:0.54   Pitch_Bruto:-3.81
Pitch_Filtrado:-0.97   Pitch_Bruto:-3.96
Pitch_Filtrado:-2.36   Pitch_Bruto:-4.21
Pitch_Filtrado:-3.67   Pitch_Bruto:-4.74
Pitch_Filtrado:-4.91   Pitch_Bruto:-5.86
Pitch_Filtrado:-6.08   Pitch_Bruto:-7.46
Pitch_Filtrado:-7.21   Pitch_Bruto:-8.95
Pitch_Filtrado:-8.28   Pitch_Bruto:-10.10
Pitch_Filtrado:-9.27   Pitch_Bruto:-10.50
Pitch_Filtrado:-10.19   Pitch_Bruto:-10.63
Pitch_Filtrado:-11.06   Pitch_Bruto:-10.78
Pitch_Filtrado:-11.90   Pitch_Bruto:-10.91
Pitch_Filtrado:-12.77   Pitch_Bruto:-11.68
Pitch_Filtrado:-13.66   Pitch_Bruto:-13.07
Pitch_Filtrado:-14.58   Pitch_Bruto:-14.13
Pitch_Filtrado:-15.53   Pitch_Bruto:-15.33
Pitch_Filtrado:-16.51   Pitch_Bruto:-16.31
Pitch_Filtrado:-17.52   Pitch_Bruto:-17.54
Pitch_Filtrado:-18.58   Pitch_Bruto:-18.34
Pitch_Filtrado:-19.66   Pitch_Bruto:-19.86
Pitch_Filtrado:-20.80   Pitch_Bruto:-21.39
Pitch_Filtrado:-22.00   Pitch_Bruto:-23.07
Pitch_Filtrado:-23.23   Pitch_Bruto:-24.66
Pitch_Filtrado:-24.49   Pitch_Bruto:-26.05
Pitch_Filtrado:-25.81   Pitch_Bruto:-27.66
Pitch_Filtrado:-27.13   Pitch_Bruto:-29.76
Pitch_Filtrado:-28.43   Pitch_Bruto:-30.69
Pitch_Filtrado:-29.72   Pitch_Bruto:-31.51
Pitch_Filtrado:-31.00   Pitch_Bruto:-32.72
Pitch_Filtrado:-32.28   Pitch_Bruto:-34.25
Pitch_Filtrado:-33.57   Pitch_Bruto:-35.66
Pitch_Filtrado:-34.81   Pitch_Bruto:-36.35
Pitch_Filtrado:-36.03   Pitch_Bruto:-37.15
Pitch_Filtrado:-37.26   Pitch_Bruto:-38.45
Pitch_Filtrado:-38.50   Pitch_Bruto:-39.75
Pitch_Filtrado:-39.74   Pitch_Bruto:-41.06
Pitch_Filtrado:-41.00   Pitch_Bruto:-42.39
Pitch_Filtrado:-42.25   Pitch_Bruto:-44.41
Pitch_Filtrado:-43.48   Pitch_Bruto:-45.62
Pitch_Filtrado:-44.68   Pitch_Bruto:-46.62
Pitch_Filtrado:-45.83   Pitch_Bruto:-47.87
Pitch_Filtrado:-46.92   Pitch_Bruto:-49.40
Pitch_Filtrado:-47.95   Pitch_Bruto:-51.13
Pitch_Filtrado:-48.88   Pitch_Bruto:-52.92
Pitch_Filtrado:-49.66   Pitch_Bruto:-53.53
Pitch_Filtrado:-50.27   Pitch_Bruto:-53.76
Pitch_Filtrado:-50.73   Pitch_Bruto:-53.98
Pitch_Filtrado:-50.95   Pitch_Bruto:-54.44
Pitch_Filtrado:-51.03   Pitch_Bruto:-55.07
Pitch_Filtrado:-50.92   Pitch_Bruto:-55.08
Pitch_Filtrado:-50.59   Pitch_Bruto:-54.28
Pitch_Filtrado:-50.07   Pitch_Bruto:-53.13
Pitch_Filtrado:-49.35   Pitch_Bruto:-51.78
Pitch_Filtrado:-48.44   Pitch_Bruto:-50.74
Pitch_Filtrado:-47.37   Pitch_Bruto:-49.65
Pitch_Filtrado:-46.19   Pitch_Bruto:-47.43
Pitch_Filtrado:-44.92   Pitch_Bruto:-46.10
Pitch_Filtrado:-43.60   Pitch_Bruto:-45.04
Pitch_Filtrado:-42.23   Pitch_Bruto:-44.17
Pitch_Filtrado:-40.77   Pitch_Bruto:-42.96
Pitch_Filtrado:-39.22   Pitch_Bruto:-41.28
Pitch_Filtrado:-37.63   Pitch_Bruto:-38.38
Pitch_Filtrado:-36.00   Pitch_Bruto:-36.73
Pitch_Filtrado:-34.34   Pitch_Bruto:-34.99
Pitch_Filtrado:-32.67   Pitch_Bruto:-33.85
Pitch_Filtrado:-30.94   Pitch_Bruto:-33.01
Pitch_Filtrado:-29.13   Pitch_Bruto:-32.18
Pitch_Filtrado:-27.23   Pitch_Bruto:-29.22
Pitch_Filtrado:-25.22   Pitch_Bruto:-26.38
Pitch_Filtrado:-23.10   Pitch_Bruto:-22.63
Pitch_Filtrado:-20.91   Pitch_Bruto:-18.70
Pitch_Filtrado:-18.72   Pitch_Bruto:-15.16
Pitch_Filtrado:-16.54   Pitch_Bruto:-12.72
Pitch_Filtrado:-14.46   Pitch_Bruto:-10.73
Pitch_Filtrado:-12.49   Pitch_Bruto:-10.32
Pitch_Filtrado:-10.58   Pitch_Bruto:-9.26
Pitch_Filtrado:-8.66   Pitch_Bruto:-6.80
Pitch_Filtrado:-6.70   Pitch_Bruto:-2.96
Pitch_Filtrado:-4.69   Pitch_Bruto:0.86
Pitch_Filtrado:-2.78   Pitch_Bruto:4.49
Pitch_Filtrado:-1.00   Pitch_Bruto:5.18
Pitch_Filtrado:0.61   Pitch_Bruto:4.60
Pitch_Filtrado:2.09   Pitch_Bruto:4.15
Pitch_Filtrado:3.47   Pitch_Bruto:3.82
Pitch_Filtrado:4.82   Pitch_Bruto:4.60
Pitch_Filtrado:6.23   Pitch_Bruto:8.30
Pitch_Filtrado:7.68   Pitch_Bruto:11.04
Pitch_Filtrado:9.10   Pitch_Bruto:12.77
Pitch_Filtrado:10.48   Pitch_Bruto:13.67
Pitch_Filtrado:11.79   Pitch_Bruto:14.27
Pitch_Filtrado:13.05   Pitch_Bruto:15.06
Pitch_Filtrado:14.28   Pitch_Bruto:15.74
Pitch_Filtrado:15.46   Pitch_Bruto:16.16
Pitch_Filtrado:16.63   Pitch_Bruto:16.37
Pitch_Filtrado:17.81   Pitch_Bruto:17.60
Pitch_Filtrado:19.04   Pitch_Bruto:19.52
Pitch_Filtrado:20.30   Pitch_Bruto:21.68
Pitch_Filtrado:21.59   Pitch_Bruto:23.58
Pitch_Filtrado:22.83   Pitch_Bruto:24.72
Pitch_Filtrado:24.01   Pitch_Bruto:24.83
Pitch_Filtrado:25.14   Pitch_Bruto:24.80
Pitch_Filtrado:26.23   Pitch_Bruto:24.90
Pitch_Filtrado:27.33   Pitch_Bruto:25.43
Pitch_Filtrado:28.51   Pitch_Bruto:26.85
Pitch_Filtrado:29.74   Pitch_Bruto:30.11
Pitch_Filtrado:31.00   Pitch_Bruto:32.08
Pitch_Filtrado:32.26   Pitch_Bruto:33.83
Pitch_Filtrado:33.47   Pitch_Bruto:34.69
Pitch_Filtrado:34.60   Pitch_Bruto:35.12
Pitch_Filtrado:35.68   Pitch_Bruto:35.53
Pitch_Filtrado:36.73   Pitch_Bruto:36.32
Pitch_Filtrado:37.77   Pitch_Bruto:37.36
Pitch_Filtrado:38.83   Pitch_Bruto:38.84
Pitch_Filtrado:39.92   Pitch_Bruto:40.52
Pitch_Filtrado:41.02   Pitch_Bruto:42.41
Pitch_Filtrado:42.14   Pitch_Bruto:43.72
Pitch_Filtrado:43.23   Pitch_Bruto:45.25
Pitch_Filtrado:44.29   Pitch_Bruto:46.24
Pitch_Filtrado:45.31   Pitch_Bruto:47.39
Pitch_Filtrado:46.28   Pitch_Bruto:48.74
Pitch_Filtrado:47.13   Pitch_Bruto:50.11
Pitch_Filtrado:47.90   Pitch_Bruto:51.44
Pitch_Filtrado:48.56   Pitch_Bruto:52.81
Pitch_Filtrado:49.09   Pitch_Bruto:53.68
Pitch_Filtrado:49.47   Pitch_Bruto:54.25
Pitch_Filtrado:49.67   Pitch_Bruto:54.55
Pitch_Filtrado:49.60   Pitch_Bruto:54.70
Pitch_Filtrado:49.34   Pitch_Bruto:54.61
Pitch_Filtrado:48.89   Pitch_Bruto:54.47
Pitch_Filtrado:48.23   Pitch_Bruto:53.51
Pitch_Filtrado:47.35   Pitch_Bruto:51.69
Pitch_Filtrado:46.31   Pitch_Bruto:49.92
Pitch_Filtrado:45.11   Pitch_Bruto:48.45
Pitch_Filtrado:43.84   Pitch_Bruto:47.40
Pitch_Filtrado:42.52   Pitch_Bruto:46.94
Pitch_Filtrado:41.09   Pitch_Bruto:45.77
Pitch_Filtrado:39.51   Pitch_Bruto:43.19
Pitch_Filtrado:37.79   Pitch_Bruto:40.04
Pitch_Filtrado:35.97   Pitch_Bruto:36.97
Pitch_Filtrado:34.07   Pitch_Bruto:34.52
Pitch_Filtrado:32.17   Pitch_Bruto:30.85
Pitch_Filtrado:30.29   Pitch_Bruto:28.52
Pitch_Filtrado:28.43   Pitch_Bruto:26.56
Pitch_Filtrado:26.60   Pitch_Bruto:24.61
Pitch_Filtrado:24.83   Pitch_Bruto:22.44
Pitch_Filtrado:23.08   Pitch_Bruto:20.79
Pitch_Filtrado:21.43   Pitch_Bruto:19.85
Pitch_Filtrado:19.84   Pitch_Bruto:19.65
Pitch_Filtrado:18.30   Pitch_Bruto:19.06
Pitch_Filtrado:16.75   Pitch_Bruto:18.02
Pitch_Filtrado:15.17   Pitch_Bruto:16.82
Pitch_Filtrado:13.54   Pitch_Bruto:15.90
Pitch_Filtrado:11.85   Pitch_Bruto:14.18
Pitch_Filtrado:10.06   Pitch_Bruto:11.87
Pitch_Filtrado:8.14   Pitch_Bruto:8.54
Pitch_Filtrado:6.12   Pitch_Bruto:5.17
Pitch_Filtrado:4.02   Pitch_Bruto:2.20
Pitch_Filtrado:1.87   Pitch_Bruto:-0.03
Pitch_Filtrado:-0.26   Pitch_Bruto:-2.25
Pitch_Filtrado:-2.41   Pitch_Bruto:-4.34
Pitch_Filtrado:-4.59   Pitch_Bruto:-7.37
Pitch_Filtrado:-6.81   Pitch_Bruto:-11.04
Pitch_Filtrado:-9.06   Pitch_Bruto:-14.93
Pitch_Filtrado:-11.24   Pitch_Bruto:-17.72
Pitch_Filtrado:-13.29   Pitch_Bruto:-19.04
Pitch_Filtrado:-15.22   Pitch_Bruto:-19.31
Pitch_Filtrado:-17.07   Pitch_Bruto:-20.14
Pitch_Filtrado:-18.85   Pitch_Bruto:-20.87
Pitch_Filtrado:-20.58   Pitch_Bruto:-22.21
Pitch_Filtrado:-22.28   Pitch_Bruto:-23.64
Pitch_Filtrado:-23.99   Pitch_Bruto:-25.92
Pitch_Filtrado:-25.67   Pitch_Bruto:-27.12
Pitch_Filtrado:-27.35   Pitch_Bruto:-28.28
Pitch_Filtrado:-29.03   Pitch_Bruto:-29.86
Pitch_Filtrado:-30.74   Pitch_Bruto:-32.23
Pitch_Filtrado:-32.48   Pitch_Bruto:-34.77
Pitch_Filtrado:-34.28   Pitch_Bruto:-37.51
Pitch_Filtrado:-36.07   Pitch_Bruto:-41.19
Pitch_Filtrado:-37.81   Pitch_Bruto:-43.01
Pitch_Filtrado:-39.49   Pitch_Bruto:-44.54
Pitch_Filtrado:-41.13   Pitch_Bruto:-46.25
Pitch_Filtrado:-42.67   Pitch_Bruto:-47.98
Pitch_Filtrado:-44.16   Pitch_Bruto:-49.35
Pitch_Filtrado:-45.56   Pitch_Bruto:-51.30
Pitch_Filtrado:-46.84   Pitch_Bruto:-52.39
Pitch_Filtrado:-47.97   Pitch_Bruto:-52.79
Pitch_Filtrado:-48.96   Pitch_Bruto:-52.88
Pitch_Filtrado:-49.76   Pitch_Bruto:-53.16
Pitch_Filtrado:-50.43   Pitch_Bruto:-53.43
Pitch_Filtrado:-50.94   Pitch_Bruto:-53.26
Pitch_Filtrado:-51.32   Pitch_Bruto:-53.56
Pitch_Filtrado:-51.58   Pitch_Bruto:-54.41
Pitch_Filtrado:-51.69   Pitch_Bruto:-55.01
Pitch_Filtrado:-51.54   Pitch_Bruto:-55.44
Pitch_Filtrado:-51.18   Pitch_Bruto:-55.55
Pitch_Filtrado:-50.60   Pitch_Bruto:-54.57
Pitch_Filtrado:-49.81   Pitch_Bruto:-53.38
Pitch_Filtrado:-48.82   Pitch_Bruto:-51.97
Pitch_Filtrado:-47.67   Pitch_Bruto:-51.01
Pitch_Filtrado:-46.30   Pitch_Bruto:-50.53
Pitch_Filtrado:-44.77   Pitch_Bruto:-50.00
Pitch_Filtrado:-43.07   Pitch_Bruto:-47.39
Pitch_Filtrado:-41.22   Pitch_Bruto:-44.90
Pitch_Filtrado:-39.23   Pitch_Bruto:-42.28
Pitch_Filtrado:-37.14   Pitch_Bruto:-39.84
Pitch_Filtrado:-34.94   Pitch_Bruto:-37.43
Pitch_Filtrado:-32.60   Pitch_Bruto:-34.32
Pitch_Filtrado:-30.20   Pitch_Bruto:-29.44
Pitch_Filtrado:-27.79   Pitch_Bruto:-26.87
Pitch_Filtrado:-25.38   Pitch_Bruto:-24.54
Pitch_Filtrado:-22.98   Pitch_Bruto:-22.53
Pitch_Filtrado:-20.59   Pitch_Bruto:-20.75
Pitch_Filtrado:-18.14   Pitch_Bruto:-18.37
Pitch_Filtrado:-15.66   Pitch_Bruto:-13.28
Pitch_Filtrado:-13.18   Pitch_Bruto:-9.63
Pitch_Filtrado:-10.74   Pitch_Bruto:-6.94
Pitch_Filtrado:-8.37   Pitch_Bruto:-4.45
Pitch_Filtrado:-6.12   Pitch_Bruto:-2.32
Pitch_Filtrado:-3.95   Pitch_Bruto:-0.76
Pitch_Filtrado:-1.88   Pitch_Bruto:0.80
Pitch_Filtrado:0.11   Pitch_Bruto:2.01
Pitch_Filtrado:2.07   Pitch_Bruto:4.16
Pitch_Filtrado:4.01   Pitch_Bruto:6.56
Pitch_Filtrado:5.92   Pitch_Bruto:9.10
Pitch_Filtrado:7.80   Pitch_Bruto:10.76
Pitch_Filtrado:9.62   Pitch_Bruto:12.31
Pitch_Filtrado:11.39   Pitch_Bruto:13.55
Pitch_Filtrado:13.15   Pitch_Bruto:15.45
Pitch_Filtrado:14.90   Pitch_Bruto:17.56
Pitch_Filtrado:16.64   Pitch_Bruto:19.74
Pitch_Filtrado:18.38   Pitch_Bruto:21.22
Pitch_Filtrado:20.10   Pitch_Bruto:22.75
Pitch_Filtrado:21.84   Pitch_Bruto:24.14
Pitch_Filtrado:23.61   Pitch_Bruto:26.12
Pitch_Filtrado:25.43   Pitch_Bruto:28.82
Pitch_Filtrado:27.25   Pitch_Bruto:31.64
Pitch_Filtrado:29.07   Pitch_Bruto:34.14
Pitch_Filtrado:30.80   Pitch_Bruto:36.63
Pitch_Filtrado:32.41   Pitch_Bruto:37.67
Pitch_Filtrado:33.89   Pitch_Bruto:38.56
Pitch_Filtrado:35.23   Pitch_Bruto:39.48
Pitch_Filtrado:36.44   Pitch_Bruto:40.23
Pitch_Filtrado:37.44   Pitch_Bruto:40.77
Pitch_Filtrado:38.29   Pitch_Bruto:40.86
Pitch_Filtrado:39.00   Pitch_Bruto:40.53
Pitch_Filtrado:39.58   Pitch_Bruto:40.46
Pitch_Filtrado:40.08   Pitch_Bruto:40.74
Pitch_Filtrado:40.49   Pitch_Bruto:41.29
Pitch_Filtrado:40.78   Pitch_Bruto:41.69
Pitch_Filtrado:40.97   Pitch_Bruto:41.60
Pitch_Filtrado:41.08   Pitch_Bruto:41.11
Pitch_Filtrado:41.10   Pitch_Bruto:40.40
Pitch_Filtrado:41.07   Pitch_Bruto:39.95
Pitch_Filtrado:41.01   Pitch_Bruto:39.77
Pitch_Filtrado:40.95   Pitch_Bruto:39.97
Pitch_Filtrado:40.89   Pitch_Bruto:40.24
Pitch_Filtrado:40.84   Pitch_Bruto:40.64
Pitch_Filtrado:40.78   Pitch_Bruto:40.50
Pitch_Filtrado:40.71   Pitch_Bruto:40.50
Pitch_Filtrado:40.62   Pitch_Bruto:40.53
Pitch_Filtrado:40.51   Pitch_Bruto:40.93
